Image path,Label
./Dataset/arcondicionado (1).jpg,1
./Dataset/arcondicionado (10).jpg,1
./Dataset/arcondicionado (100).jpg,1
./Dataset/arcondicionado (101).jpg,1
./Dataset/arcondicionado (102).jpg,1
./Dataset/arcondicionado (103).jpg,1
./Dataset/arcondicionado (104).jpg,1
./Dataset/arcondicionado (105).jpg,1
./Dataset/arcondicionado (106).jpg,1
./Dataset/arcondicionado (107).jpg,1
./Dataset/arcondicionado (108).jpg,1
./Dataset/arcondicionado (109).jpg,1
./Dataset/arcondicionado (11).jpg,1
./Dataset/arcondicionado (110).jpg,1
./Dataset/arcondicionado (111).jpg,1
./Dataset/arcondicionado (112).jpg,1
./Dataset/arcondicionado (113).jpg,1
./Dataset/arcondicionado (114).jpg,1
./Dataset/arcondicionado (115).jpg,1
./Dataset/arcondicionado (116).jpg,1
./Dataset/arcondicionado (117).jpg,1
./Dataset/arcondicionado (118).jpg,1
./Dataset/arcondicionado (119).jpg,1
./Dataset/arcondicionado (12).jpg,1
./Dataset/arcondicionado (120).jpg,1
./Dataset/arcondicionado (121).jpg,1
./Dataset/arcondicionado (122).jpg,1
./Dataset/arcondicionado (123).jpg,1
./Dataset/arcondicionado (124).jpg,1
./Dataset/arcondicionado (125).jpg,1
./Dataset/arcondicionado (126).jpg,1
./Dataset/arcondicionado (127).jpg,1
./Dataset/arcondicionado (128).jpg,1
./Dataset/arcondicionado (129).jpg,1
./Dataset/arcondicionado (13).jpg,1
./Dataset/arcondicionado (130).jpg,1
./Dataset/arcondicionado (131).jpg,1
./Dataset/arcondicionado (132).jpg,1
./Dataset/arcondicionado (133).jpg,1
./Dataset/arcondicionado (134).jpg,1
./Dataset/arcondicionado (135).jpg,1
./Dataset/arcondicionado (136).jpg,1
./Dataset/arcondicionado (137).jpg,1
./Dataset/arcondicionado (138).jpg,1
./Dataset/arcondicionado (139).jpg,1
./Dataset/arcondicionado (14).jpg,1
./Dataset/arcondicionado (140).jpg,1
./Dataset/arcondicionado (141).jpg,1
./Dataset/arcondicionado (142).jpg,1
./Dataset/arcondicionado (143).jpg,1
./Dataset/arcondicionado (144).jpg,1
./Dataset/arcondicionado (145).jpg,1
./Dataset/arcondicionado (146).jpg,1
./Dataset/arcondicionado (147).jpg,1
./Dataset/arcondicionado (148).jpg,1
./Dataset/arcondicionado (149).jpg,1
./Dataset/arcondicionado (15).jpg,1
./Dataset/arcondicionado (150).jpg,1
./Dataset/arcondicionado (151).jpg,1
./Dataset/arcondicionado (152).jpg,1
./Dataset/arcondicionado (153).jpg,1
./Dataset/arcondicionado (154).jpg,1
./Dataset/arcondicionado (155).jpg,1
./Dataset/arcondicionado (156).jpg,1
./Dataset/arcondicionado (157).jpg,1
./Dataset/arcondicionado (158).jpg,1
./Dataset/arcondicionado (159).jpg,1
./Dataset/arcondicionado (16).jpg,1
./Dataset/arcondicionado (160).jpg,1
./Dataset/arcondicionado (161).jpg,1
./Dataset/arcondicionado (162).jpg,1
./Dataset/arcondicionado (163).jpg,1
./Dataset/arcondicionado (164).jpg,1
./Dataset/arcondicionado (165).jpg,1
./Dataset/arcondicionado (166).jpg,1
./Dataset/arcondicionado (167).jpg,1
./Dataset/arcondicionado (168).jpg,1
./Dataset/arcondicionado (169).jpg,1
./Dataset/arcondicionado (17).jpg,1
./Dataset/arcondicionado (170).jpg,1
./Dataset/arcondicionado (171).jpg,1
./Dataset/arcondicionado (172).jpg,1
./Dataset/arcondicionado (173).jpg,1
./Dataset/arcondicionado (174).jpg,1
./Dataset/arcondicionado (175).jpg,1
./Dataset/arcondicionado (176).jpg,1
./Dataset/arcondicionado (177).jpg,1
./Dataset/arcondicionado (178).jpg,1
./Dataset/arcondicionado (179).jpg,1
./Dataset/arcondicionado (18).jpg,1
./Dataset/arcondicionado (180).jpg,1
./Dataset/arcondicionado (181).jpg,1
./Dataset/arcondicionado (182).jpg,1
./Dataset/arcondicionado (183).jpg,1
./Dataset/arcondicionado (184).jpg,1
./Dataset/arcondicionado (185).jpg,1
./Dataset/arcondicionado (186).jpg,1
./Dataset/arcondicionado (187).jpg,1
./Dataset/arcondicionado (188).jpg,1
./Dataset/arcondicionado (189).jpg,1
./Dataset/arcondicionado (19).jpg,1
./Dataset/arcondicionado (190).jpg,1
./Dataset/arcondicionado (191).jpg,1
./Dataset/arcondicionado (192).jpg,1
./Dataset/arcondicionado (193).jpg,1
./Dataset/arcondicionado (194).jpg,1
./Dataset/arcondicionado (195).jpg,1
./Dataset/arcondicionado (196).jpg,1
./Dataset/arcondicionado (197).jpg,1
./Dataset/arcondicionado (198).jpg,1
./Dataset/arcondicionado (199).jpg,1
./Dataset/arcondicionado (2).jpg,1
./Dataset/arcondicionado (20).jpg,1
./Dataset/arcondicionado (200).jpg,1
./Dataset/arcondicionado (201).jpg,1
./Dataset/arcondicionado (202).jpg,1
./Dataset/arcondicionado (203).jpg,1
./Dataset/arcondicionado (204).jpg,1
./Dataset/arcondicionado (205).jpg,1
./Dataset/arcondicionado (206).jpg,1
./Dataset/arcondicionado (207).jpg,1
./Dataset/arcondicionado (208).jpg,1
./Dataset/arcondicionado (209).jpg,1
./Dataset/arcondicionado (21).jpg,1
./Dataset/arcondicionado (210).jpg,1
./Dataset/arcondicionado (211).jpg,1
./Dataset/arcondicionado (212).jpg,1
./Dataset/arcondicionado (213).jpg,1
./Dataset/arcondicionado (214).jpg,1
./Dataset/arcondicionado (215).jpg,1
./Dataset/arcondicionado (216).jpg,1
./Dataset/arcondicionado (217).jpg,1
./Dataset/arcondicionado (218).jpg,1
./Dataset/arcondicionado (219).jpg,1
./Dataset/arcondicionado (22).jpg,1
./Dataset/arcondicionado (220).jpg,1
./Dataset/arcondicionado (221).jpg,1
./Dataset/arcondicionado (222).jpg,1
./Dataset/arcondicionado (223).jpg,1
./Dataset/arcondicionado (224).jpg,1
./Dataset/arcondicionado (225).jpg,1
./Dataset/arcondicionado (226).jpg,1
./Dataset/arcondicionado (227).jpg,1
./Dataset/arcondicionado (228).jpg,1
./Dataset/arcondicionado (229).jpg,1
./Dataset/arcondicionado (23).jpg,1
./Dataset/arcondicionado (230).jpg,1
./Dataset/arcondicionado (231).jpg,1
